Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
199754,639665740,13,-1,70.9201,15.0015,13.3599,68.0156,1.93388,0.727583,-13,1,28.1834,11.1598,1.66302,25.826,1.56585,0.14793,-13,1,10.5949,-0.875868,-2.82543,10.173,1.94884,-1.8714,11,-1,34.997,-12.6581,4.60077,32.3017,1.6088,2.79297
199754,873005082,11,-1,242.058,17.3676,-122.559,-208.013,-1.29087,-1.43003,11,-1,206.793,-83.5358,83.4406,-169.773,-1.15981,2.35676,-11,1,90.8296,-47.5731,-31.2364,-70.7891,-1.04374,-2.56059,-11,1,23.9943,-20.5706,8.32019,9.12982,0.400644,2.75724
199754,879434169,-13,1,47.9308,7.26993,47.3726,0.577653,0.0120524,1.41852,13,-1,36.5606,-2.02488,-35.7891,7.19071,0.199277,-1.62731,13,-1,10.721,-1.82405,0.588968,-10.5477,-2.40657,2.82927,-13,1,6.93193,-1.04179,1.47235,-6.69233,-2.02198,2.18658
199804,245876469,13,-1,7.50044,-3.70408,-6.30362,1.67023,0.226502,-2.10206,-13,1,5.25707,-0.959308,-4.65401,2.24624,0.456669,-1.77407,-13,1,4.38944,-3.56722,-1.94588,1.65665,0.397173,-2.64222,-11,1,4.57744,3.59138,-1.01017,2.65226,0.661589,-0.274191
199804,281525501,-13,1,51.5701,22.7947,-34.8728,-30.3932,-0.676684,-0.991859,13,-1,142.861,-26.7384,15.7932,-139.445,-2.20725,2.60807,-13,1,4.87924,0.408033,2.1808,4.34436,1.42475,1.38583,13,-1,9.00101,-1.73819,-1.36542,8.72475,2.08183,-2.47573
199804,389161128,-13,1,89.6077,-9.33337,-19.4177,-86.9791,-2.1037,-2.01886,-13,1,32.9779,-5.44033,-11.2607,-30.5144,-1.6247,-2.02085,11,-1,59.3124,-5.06831,-11.3067,-58.0037,-2.24793,-1.9922,-11,1,38.3468,-5.99046,-6.25356,-37.3562,-2.16812,-2.33471
199804,611651193,13,-1,27.5373,12.4451,-4.4239,24.1628,1.36463,-0.341542,-13,1,26.6175,11.5539,-3.99356,23.644,1.41379,-0.332791,-11,1,8.55345,-4.18476,1.85587,7.22531,1.23744,2.72417,11,-1,6.56088,-3.20321,1.43448,5.54318,1.238,2.72055
199804,674404876,13,-1,17.3842,2.65225,-5.29917,-16.3427,-1.73896,-1.10675,-13,1,13.9493,1.3655,-4.64036,-13.0833,-1.72071,-1.28461,13,-1,20.9922,-3.31893,2.64274,-20.5588,-2.28175,2.46914,-13,1,11.239,-0.543908,-2.49055,-10.9455,-2.16357,-1.78581
199812,153286415,11,-1,98.7992,23.5642,-19.3867,93.969,1.8433,-0.68844,-11,1,54.9659,-11.8926,14.8029,51.5819,1.72477,2.24761,11,-1,49.2887,-11.3056,10.9333,46.7121,1.80895,2.37294,11,-1,7.93911,1.45222,-2.73594,-7.30993,-1.59393,-1.08282
199812,272056902,13,-1,45.4741,-25.8616,-30.4124,21.7749,0.521483,-2.2755,-13,1,62.3887,8.18247,38.0168,48.7864,1.05044,1.3588,13,-1,8.79392,3.04738,-3.76744,7.3377,1.20266,-0.890668,-13,1,7.094,2.10098,-2.97766,6.08548,1.28545,-0.956335
199812,287809009,-13,1,35.0764,-7.21525,18.1661,-29.1251,-1.18922,1.94887,13,-1,29.4408,-7.89587,16.8071,-22.8457,-1.03522,2.00999,13,-1,17.8802,-0.639671,-5.93855,-16.8527,-1.76044,-1.6781,13,-1,8.22231,-1.28697,1.11498,-8.04337,-2.25676,2.42768
199812,306908284,-13,1,67.1532,43.7373,37.9194,-34.0397,-0.558546,0.714271,13,-1,77.6738,-38.1382,-2.41831,-67.6228,-1.33556,-3.07827,-11,1,86.2182,-19.7786,-37.2795,-75.184,-1.34145,-2.05858,11,-1,9.23305,-2.11101,-8.24123,-3.58818,-0.410177,-1.82156
199812,484080289,13,-1,76.2814,19.1223,-28.9449,67.9366,1.42485,-0.986974,-13,1,20.3533,-10.9216,17.1098,1.48953,0.0733161,2.13892,-13,1,27.8488,-5.18918,12.6446,24.2638,1.33835,1.96022,13,-1,13.1665,-4.43581,6.41581,10.6069,1.11444,2.17572
199812,500660900,13,-1,83.5444,-22.5276,-76.3704,25.2928,0.312541,-1.85764,-13,1,57.2882,18.3412,-18.785,50.9181,1.41622,-0.79735,11,-1,170.728,66.9366,35.8954,152.902,1.44948,0.492232,11,-1,12.5442,-2.9336,1.09949,-12.1466,-2.06448,2.783
199812,501909383,13,-1,93.765,-7.6592,39.9642,-84.4752,-1.47711,1.76015,-13,1,12.3749,1.81338,-10.0479,-6.99133,-0.640119,-1.39224,-11,1,28.1923,4.05626,-22.688,-16.2359,-0.656306,-1.39388,11,-1,14.6263,2.8012,-10.903,-9.33854,-0.755594,-1.31931
199812,514199750,-13,1,11.419,3.01894,7.99685,7.57085,0.798211,1.20982,13,-1,6.16905,3.61694,3.97635,3.0253,0.536681,0.832695,-13,1,6.12889,-2.31509,-4.66546,-3.22892,-0.585864,-2.03141,13,-1,24.0511,-0.572222,5.06366,-23.5048,-2.23347,1.68332
199812,524218113,-13,1,8.82752,-0.0187435,2.19279,8.55017,2.06994,1.57934,-11,1,186.044,-43.4772,-17.5669,180.037,2.05501,-2.7576,11,-1,68.3323,26.0265,23.3682,58.7013,1.28974,0.731633,-11,1,12.363,-2.6855,0.203633,-12.066,-2.20504,3.06591
199812,629524276,13,-1,37.4977,-14.3473,0.525506,-34.6402,-1.61435,3.10498,-13,1,19.3123,7.73016,3.4596,-17.356,-1.46549,0.420811,-13,1,13.7242,-6.82323,-0.370277,-11.9016,-1.32178,-3.08738,11,-1,12.259,5.53098,3.4889,-10.3691,-1.24134,0.562754
199812,710174642,-13,1,75.5056,-4.93396,48.35,-57.7842,-1.00888,1.67249,13,-1,24.2562,12.8513,-20.5707,-0.203595,-0.0083938,-1.01239,11,-1,6.14502,3.60558,-4.8369,-1.16855,-0.192505,-0.930224,-11,1,4.99097,2.92936,-3.92761,-0.950006,-0.192695,-0.929964
199812,713996870,-13,1,14.7013,3.76147,-4.85201,13.3576,1.51959,-0.911337,-13,1,14.3944,2.82608,5.19375,13.1235,1.5377,1.07247,13,-1,21.6195,3.60741,4.29597,20.8788,2.02496,0.872302,13,-1,11.1248,0.620719,-5.20099,9.81401,1.38566,-1.45201
199832,177107834,-13,1,43.1239,6.81737,8.74188,-41.6745,-2.0346,0.908462,13,-1,7.4435,1.27747,1.888,-7.08506,-1.85208,0.97593,-11,1,85.9943,-29.2139,-43.3197,68.3005,1.08283,-2.16412,11,-1,187.987,29.3052,37.1892,181.926,2.05574,0.903413
199832,182081200,13,-1,71.1887,-53.4919,-32.8595,-33.5663,-0.512013,-2.59073,-13,1,52.485,50.8011,13.1451,1.05643,0.0201309,0.253202,-11,1,2.58463,2.51478,0.595109,0.0449328,0.0173864,0.23237,11,-1,2.41369,2.34178,0.583012,0.045513,0.0188584,0.244001
199832,254924276,13,-1,87.3611,-66.6384,-44.9148,34.2628,0.414394,-2.54853,-13,1,52.9322,10.3816,-47.2783,21.4194,0.429207,-1.35464,-13,1,19.0438,2.17616,9.94823,16.092,1.23845,1.35544,13,-1,6.90294,4.31308,-3.85891,3.76107,0.611118,-0.729879
199833,1025285114,13,-1,33.0788,25.9999,-8.21867,18.7258,0.641765,-0.306165,-13,1,25.2705,3.20615,14.8019,20.2289,1.10001,1.35749,-11,1,35.6681,-30.0621,7.77791,-17.5496,-0.538728,2.88842,11,-1,3.79741,-3.18338,0.89759,-1.86567,-0.537773,2.86677
199833,1070404444,13,-1,8.88636,1.28836,-1.57591,-8.64944,-2.15345,-0.885454,11,-1,77.589,-42.8493,26.7493,58.8937,0.993962,2.58352,-11,1,56.5628,36.9853,-19.3443,38.1737,0.819673,-0.481899,-11,1,9.89011,1.35721,-2.94067,-9.34477,-1.78153,-1.1384
199833,1121489112,-13,1,10.2887,-1.54938,1.48251,10.0622,2.25024,2.37825,11,-1,133.822,55.5076,17.0097,120.574,1.4775,0.297353,-11,1,23.8089,-20.8182,-6.29923,-9.68435,-0.431714,-2.84777,11,-1,4.15486,-3.54705,0.699361,-2.04748,-0.539742,2.94692
199833,1132343417,13,-1,63.9813,20.0362,-30.1395,-52.7613,-1.17114,-0.9841,13,-1,21.9492,-16.7299,14.1745,-0.973591,-0.0443863,2.43869,-13,1,12.2304,0.124402,12.0426,2.12927,0.175895,1.56047,-13,1,7.61918,-5.85936,4.82343,-0.665746,-0.0876095,2.45286
199833,1278334274,-13,1,31.9848,-6.41935,2.40802,31.2412,2.22157,2.78272,13,-1,19.5016,2.96967,-3.12822,19.0184,2.18946,-0.811392,13,-1,12.3261,-2.0148,2.07633,11.9812,2.1284,2.34116,-11,1,11.1914,4.2885,-1.45885,10.2336,1.55387,-0.327896
199833,128365344,13,-1,104.393,23.3073,39.6244,-93.7256,-1.46085,1.03909,-13,1,93.7313,-12.0203,-17.6979,-91.2571,-2.15718,-2.16742,-13,1,8.7697,1.09547,-2.64327,8.28913,1.78536,-1.17791,11,-1,92.5471,-9.04807,-17.5572,-90.4148,-2.22605,-2.04665
199833,342505048,13,-1,56.7136,5.12632,-10.9171,55.4162,2.22969,-1.13179,-13,1,22.5215,-2.1529,7.09416,-21.266,-1.77602,1.86544,-13,1,25.8869,1.68656,-4.95078,25.3528,2.28207,-1.24246,13,-1,10.2408,-1.92539,1.45508,-9.95182,-2.12426,2.49443
199833,534845543,-13,1,138.311,-2.20259,-55.2646,126.771,1.56712,-1.61063,13,-1,41.1821,34.7363,-5.49207,21.4286,0.576804,-0.15681,-13,1,9.56391,8.37251,0.18848,4.61765,0.526694,0.022508,13,-1,4.92729,4.36378,-0.784323,2.14691,0.467058,-0.177836
199833,608443341,-13,1,38.1215,-20.8031,-9.00051,-30.6506,-1.1099,-2.73326,-13,1,36.0439,19.9636,2.08516,29.9376,1.19004,0.104071,13,-1,16.2103,4.38673,-11.3039,10.7583,0.79937,-1.20062,13,-1,12.7525,-7.01429,-2.97362,-10.2261,-1.10395,-2.74062
199833,730257875,13,-1,15.3022,7.04005,5.67554,-12.3439,-1.11749,0.678497,-13,1,7.47353,2.62953,-5.82743,3.86899,0.573253,-1.14692,-13,1,11.4951,2.69996,-4.34329,-10.2942,-1.4494,-1.01462,13,-1,4.85779,-4.72215,-1.05459,-0.419625,-0.0866182,-2.92187
199833,881535881,-13,1,78.1936,-23.386,-0.343723,74.6137,1.87693,-3.1269,13,-1,21.7554,-10.9118,-2.16395,18.6959,1.29095,-2.94582,11,-1,353.126,56.4415,50.9789,344.838,2.2167,0.734589,-11,1,79.6558,-22.4199,-15.16,74.917,1.74245,-2.54703
