Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
160957,474149791,-13,1,20.1398,-7.61603,11.5471,14.6376,0.921932,2.15386,13,-1,11.167,-4.31601,6.16641,8.24851,0.947577,2.18147,11,-1,2.36456,-2.14359,-0.932494,0.355845,0.151643,-2.73127,-11,1,2.12929,-1.83002,-1.04228,0.313941,0.148522,-2.62387
160957,475508059,13,-1,7.74065,-4.9969,-5.90112,-0.338132,-0.0437146,-2.27341,-13,1,6.58299,-2.81117,-4.91369,-3.35821,-0.562999,-2.09046,13,-1,4.40866,0.955845,4.02557,1.51864,0.359264,1.33767,-11,1,13.7245,2.33126,1.15962,-13.4752,-2.34625,0.461583
160998,143208778,13,-1,21.2518,-3.74665,-6.08794,20.0132,1.75311,-2.12248,-13,1,4.96087,1.37011,4.76671,-0.0174443,-0.00351718,1.29091,-13,1,7.69894,0.141142,-3.23439,6.98436,1.51187,-1.52719,11,-1,5.29969,2.33992,-3.52459,3.19197,0.69674,-0.984722
161016,88729201,13,-1,8.23905,-4.98656,3.22091,-5.71233,-0.854438,2.56809,-13,1,12.0603,-5.14574,2.65157,-10.5797,-1.36378,2.66579,11,-1,7.73444,3.21274,-3.9424,-5.82729,-0.980821,-0.887023,-11,1,3.33543,-0.308676,-2.37997,-2.31637,-0.856545,-1.69977
161103,72943593,-13,1,38.2173,-8.29373,7.24964,36.5952,1.91567,2.42327,13,-1,32.6543,-4.29794,7.10867,31.5799,2.04544,2.1146,-13,1,21.72,-2.28021,6.04725,20.7359,1.88239,1.93138,13,-1,21.9744,-4.55777,3.81689,21.1547,1.98166,2.44443
161116,328069,-13,1,53.0149,0.94229,-17.7839,-49.934,-1.75453,-1.51786,13,-1,28.7049,-1.48406,14.2492,24.874,1.31906,1.67457,13,-1,11.7938,-3.36384,1.67647,-11.1784,-1.81026,2.67924,13,-1,9.18017,-1.08029,-2.67728,-8.71376,-1.8242,-1.95432
161217,202362309,-13,1,26.2538,1.04143,4.78172,-25.7935,-2.36418,1.35635,13,-1,22.5118,1.03241,4.33052,-22.0669,-2.30392,1.33676,-11,1,80.6854,27.0112,-50.5327,56.8064,0.875283,-1.07991,11,-1,79.1792,-21.8502,27.3541,71.0188,1.45633,2.2448
161217,232172797,-11,1,34.022,-22.5639,-17.3894,18.6004,0.613687,-2.48499,11,-1,95.7387,19.9117,16.3898,92.1998,1.98614,0.688684,-11,1,42.2268,10.368,3.74211,40.7628,2.01876,0.346377,11,-1,11.1095,3.23269,1.13108,10.5684,1.84523,0.336575
161217,597545380,13,-1,12.402,-8.69187,-0.727188,8.81601,0.888955,-3.05812,-13,1,20.4532,5.24447,-4.18947,19.3201,1.77923,-0.67403,13,-1,16.4878,3.81472,-1.99813,15.9151,2.01815,-0.482503,-13,1,11.4211,1.25038,-2.35591,-11.1048,-2.13363,-1.08286
161310,31773495,-13,1,6.76563,5.1256,4.03748,-1.78593,-0.270407,0.667201,-13,1,26.4315,-5.52707,0.635817,-25.8391,-2.2402,3.02706,13,-1,5.58361,2.75223,4.74588,-1.03314,-0.187221,1.04527,-13,1,9.69618,1.44838,-2.97311,-9.11414,-1.73829,-1.11747
161311,198212206,-13,1,17.6023,3.7621,7.69967,15.3751,1.34759,1.11631,-13,1,11.399,5.93803,-3.93002,-8.90057,-1.04756,-0.584653,13,-1,10.9672,-5.50886,0.306954,9.47773,1.3098,3.08593,13,-1,6.11179,1.22601,2.77428,5.305,1.32542,1.15468
