Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
1,191448,13,-1,57.2648,-9.78696,-13.3668,-54.816,-1.91182,-2.2028,-13,1,48.9064,-8.86152,-8.67086,-47.3088,-2.04905,-2.36707,-13,1,7.9131,0.875875,7.78167,-1.13333,-0.144227,1.45871,11,-1,257.043,41.7443,70.5901,-243.609,-1.80908,1.03675
1,9061,13,-1,87.7444,21.5045,-4.41586,-84.9536,-2.06263,-0.20253,-11,1,31.697,-31.6164,-1.95385,1.1323,0.035738,-3.07987,-11,1,46.5105,12.2818,8.14651,44.1137,1.81629,0.585668,-11,1,6.80544,-4.3507,2.24492,4.72714,0.856811,2.66523
1,254,-13,1,19.2044,7.86932,9.17907,14.9203,1.03759,0.862073,11,-1,148.766,57.6412,3.9144,-137.089,-1.59895,0.0678056,-11,1,10.5903,3.68429,6.59421,7.42268,0.869061,1.06129,11,-1,8.54812,3.14098,5.22505,5.99195,0.8692,1.02954
1,388288,-13,1,15.8392,-3.81901,-1.34612,15.3125,2.04031,-2.80271,-11,1,105.711,-34.3847,-72.7073,68.6016,0.773489,-2.01255,11,-1,153.714,-69.0864,29.6854,134.066,1.34212,2.73576,11,-1,11.6109,-3.47153,-1.60527,10.9628,1.7753,-2.70847
1,98605,13,-1,35.4553,19.0101,-9.93675,28.2302,1.08821,-0.481648,13,-1,21.6219,-3.83803,7.47053,-19.9237,-1.5987,2.04539,-13,1,7.02469,-0.804535,2.93297,-6.33132,-1.47962,1.83852,-11,1,49.2722,5.216,-36.2578,-32.9532,-0.808568,-1.42792
1,353429,-13,1,17.7509,9.1974,-2.79542,-14.9224,-1.22345,-0.295064,11,-1,23.527,0.0855244,-23.5217,-0.488402,-0.0207622,-1.56716,-11,1,52.3845,-9.9496,-18.6383,47.9349,1.55777,-2.06114,11,-1,9.17515,-7.82987,4.1829,-2.31948,-0.258402,2.65094
1,43733,13,-1,126.246,2.90925,-124.636,19.8863,0.158843,-1.54746,-11,1,90.8134,22.7302,25.3171,84.1989,1.63779,0.839187,-11,1,31.0846,-28.7833,-8.34468,8.25494,0.272084,-2.85941,11,-1,77.875,-17.1277,12.2618,74.9721,1.98185,2.52027
1,313527,-13,1,89.7536,-80.9576,-28.262,-26.5109,-0.304445,-2.80572,13,-1,20.6937,5.05897,8.15902,-18.3319,-1.40243,1.01577,-13,1,12.4665,1.42152,4.90057,-11.3739,-1.54162,1.28847,11,-1,149.633,53.8593,-10.9482,-139.174,-1.65914,-0.200543
1,85162,-13,1,27.584,-27.5308,-1.58259,0.645289,0.023398,-3.08417,11,-1,64.9734,-42.4668,-46.9491,-14.6252,-0.229017,-2.30611,11,-1,5.95557,-5.92866,-0.563202,-0.0506817,-0.00851017,-3.04688,-11,1,3.59113,-3.56415,-0.438362,-0.0296051,-0.00824414,-3.01922
1,433269,13,-1,64.6244,-31.8201,-9.60523,-55.4213,-1.28417,-2.84843,-11,1,40.5825,28.1811,23.0818,-17.8886,-0.473216,0.68625,11,-1,33.3033,29.8975,13.0376,-6.72801,-0.20484,0.411214,-11,1,31.5562,27.6707,14.9278,2.69906,0.0857413,0.494732
1,441280,-13,1,66.2027,48.0614,37.412,25.9465,0.414074,0.661444,13,-1,60.45,-40.2779,44.1406,9.13722,0.152321,2.31047,-11,1,5.40382,2.43223,4.59779,1.46487,0.27803,1.08422,11,-1,2.44788,1.16532,2.04804,0.663108,0.277824,1.05349
1,254779,-13,1,87.4976,23.4635,80.5934,-24.6978,-0.290145,1.28749,-13,1,8.84583,-0.255679,1.6657,8.68318,2.34193,1.7231,11,-1,75.3211,-27.7645,-42.0464,55.9866,0.957827,-2.1544,-11,1,37.816,15.5669,-5.45638,34.0286,1.47142,-0.33713
1,416436,13,-1,64.4437,50.2501,-12.9459,-38.2141,-0.682257,-0.252146,-11,1,19.914,18.3113,-6.33215,4.60056,0.235269,-0.332933,11,-1,10.6406,8.37677,-3.13111,-5.76615,-0.606843,-0.357705,-11,1,6.19739,4.8985,-1.76405,-3.36162,-0.607586,-0.345662
1,177909,13,-1,54.804,-42.4795,-24.1832,24.7817,0.487449,-2.62406,-13,1,16.5524,-3.78905,-15.5634,-4.1709,-0.257533,-1.80961,13,-1,12.3021,0.970896,7.62507,9.60454,1.04729,1.44415,-11,1,23.9783,4.79911,14.9991,18.0818,0.982374,1.26113
1,375884,13,-1,63.5617,2.78635,44.0497,-45.7378,-0.906776,1.50763,13,-1,7.77237,7.16223,-0.624445,2.95148,0.399797,-0.0869659,-11,1,42.8347,-15.8878,39.7071,-2.39626,-0.0560004,1.95141,-11,1,89.5914,4.06702,-33.8391,82.8553,1.6213,-1.45118
1,256660,13,-1,66.4904,-51.9092,17.5138,37.6783,0.64261,2.81619,-13,1,17.1936,12.9878,-10.2433,4.6904,0.279892,-0.667803,-11,1,27.9332,25.3465,-10.419,5.40997,0.196152,-0.390007,-11,1,28.5901,14.2933,-19.3017,15.5093,0.607651,-0.933391
1,359683,-13,1,18.3975,11.1562,-4.34871,13.9672,0.994338,-0.371684,13,-1,6.29457,4.19354,-1.10015,4.56227,0.917888,-0.256561,11,-1,353.378,-51.7908,39.3705,347.338,2.37685,2.49161,-11,1,151.381,-6.15181,28.6645,148.515,2.32526,1.7822
1,140089,-13,1,161.022,-32.1513,-29.0914,155.075,1.98653,-2.40612,13,-1,31.1435,8.05438,20.8006,-21.734,-0.863135,1.20136,11,-1,5.42279,-5.26248,1.16809,0.590312,0.109291,2.92317,-11,1,5.05534,-4.1519,2.54957,1.34828,0.273312,2.59089
1,485488,13,-1,110.074,21.6192,-63.5327,-87.2492,-1.0785,-1.2428,-13,1,34.9386,27.6097,6.30367,-20.4612,-0.671,0.224466,11,-1,47.3308,-16.5663,30.5124,32.1676,0.828433,2.0682,-11,1,3.79706,-2.30126,-2.84421,-1.01603,-0.274258,-2.25106
1,285490,13,-1,39.0919,0.562877,-35.6446,16.041,0.436022,-1.55501,13,-1,42.0531,-6.02566,-28.8921,29.9565,0.891943,-1.77641,-11,1,73.2626,14.408,-17.8728,69.5729,1.82807,-0.892323,-11,1,22.7921,-4.10412,-15.3037,16.3838,0.905238,-1.83281
1,98268,-13,1,10.1809,-5.33785,-0.215762,8.66601,1.26068,-3.10119,13,-1,6.75131,-5.02718,1.24038,4.33104,0.760871,2.89969,11,-1,49.2633,-48.1138,10.4015,1.93517,0.0393024,2.92868,-11,1,33.5304,17.8258,-16.408,-23.1799,-0.85046,-0.744006
1,10877,13,-1,72.9424,-29.0168,-54.694,38.5639,0.588325,-2.05857,-13,1,19.3461,-7.27096,4.1281,-17.4456,-1.48167,2.62522,-11,1,47.1019,-16.4971,-36.5602,24.6938,0.582201,-1.99467,11,-1,32.5841,-5.15734,-31.8096,4.82458,0.149162,-1.73153
1,286817,13,-1,62.5887,61.161,4.75146,12.4133,0.200996,0.0775321,-13,1,64.504,18.0382,3.14053,61.8507,1.93167,0.172376,13,-1,8.88644,1.35075,0.780969,-8.74775,-2.42494,0.524216,-11,1,19.858,-9.96146,-3.36939,16.8451,1.24998,-2.81543
1,322711,-13,1,75.7542,65.0533,30.1462,24.4533,0.334767,0.433948,-13,1,87.8447,-11.0439,-30.8476,81.5055,1.64261,-1.91459,11,-1,60.1366,55.2881,-21.4569,9.96177,0.167193,-0.3702,-11,1,15.7856,-2.12452,-6.21496,14.3543,1.52363,-1.90018
1,286525,-13,1,26.2858,-25.7992,4.99908,0.584743,0.0222495,2.9502,13,-1,18.1732,-0.812345,12.6742,12.9984,0.897878,1.6348,-11,1,34.9809,-15.2311,-12.9343,28.712,1.15924,-2.43756,-11,1,2.76909,0.659437,2.0919,-1.69025,-0.709557,1.26542
1,196810,13,-1,53.0572,-20.2909,-7.66929,48.4202,1.54289,-2.78022,-13,1,18.5429,-16.7458,-6.06833,-5.15556,-0.285556,-2.79393,-11,1,8.07647,5.91892,-3.00721,4.59919,0.646716,-0.47008,11,-1,2.53348,1.82747,-1.00107,1.44109,0.645772,-0.501145
1,483184,-11,1,54.7159,-25.2909,-26.3334,-40.7524,-0.961172,-2.336,11,-1,34.1494,3.23713,-19.1958,28.0574,1.16175,-1.40373,11,-1,7.94643,-5.06828,-4.90741,-3.65728,-0.497617,-2.37232,-11,1,4.77068,-2.63201,-3.74755,-1.33707,-0.287974,-2.18308
1,207595,13,-1,249.872,70.5074,-88.3046,222.861,1.43114,-0.896997,-13,1,53.1347,15.8404,48.0088,-16.3558,-0.318134,1.2521,13,-1,4.72565,-4.35592,-1.46164,1.10007,0.237196,-2.81785,-11,1,3.51109,-2.90902,0.471462,1.90868,0.609272,2.98092
1,61911,-13,1,49.126,-31.2369,27.5769,-26.0216,-0.589717,2.41834,13,-1,31.3676,-20.2751,-16.1527,17.6614,0.637288,-2.46888,11,-1,60.2169,-11.8252,-59.0243,1.53706,0.025531,-1.76852,-11,1,13.3108,-2.53929,-0.900885,-13.0352,-2.28015,-2.80067
1,22891,-13,1,63.4596,35.7901,-47.5933,21.933,0.360463,-0.926017,11,-1,23.7313,6.85674,19.5617,11.5543,0.531962,1.23366,-11,1,20.3126,-9.02249,7.12756,-16.745,-1.17029,2.47299,11,-1,14.8867,-6.68295,6.3402,-11.6942,-1.05969,2.38251
1,121573,11,-1,103.69,75.4945,-9.46852,70.4455,0.827971,-0.124768,-11,1,150.115,-2.91054,-35.5337,145.82,2.11632,-1.65252,11,-1,3.99002,2.74672,-0.299795,2.87853,0.910626,-0.108717,-11,1,3.58877,2.48092,-0.171138,2.58747,0.909706,-0.0688725
1,315631,13,-1,8.92493,-5.12921,0.168268,7.30111,1.15109,3.1088,-11,1,104.371,2.48622,40.7936,-96.0361,-1.58997,1.50993,11,-1,33.1522,-19.6149,11.8202,-23.9709,-0.914021,2.59925,-11,1,17.4051,-8.68236,1.5812,-15.0018,-1.30076,2.96145
1,445790,-13,1,128.703,-21.0874,11.7287,-126.421,-2.35831,2.63401,13,-1,14.4064,-12.8328,0.411179,-6.53315,-0.489101,3.10956,13,-1,12.3224,-0.180088,-7.13237,-10.0463,-1.14268,-1.59604,11,-1,26.33,5.4961,-12.9124,-22.2785,-1.24235,-1.16838
1,138109,-13,1,85.2814,-34.1292,-18.3933,-75.9591,-1.42525,-2.64729,13,-1,24.6949,17.4039,-17.4211,-1.85362,-0.0752032,-0.785892,-13,1,9.10582,-2.87235,-1.27326,-8.54595,-1.72597,-2.72434,-11,1,77.3533,-2.4082,21.9868,-74.1236,-1.92403,1.67989
1,427566,11,-1,62.7485,-11.2313,-39.4216,47.5097,0.98949,-1.84834,-11,1,164.73,24.6701,-15.1071,162.17,2.42484,-0.549461,-11,1,5.03411,-1.94685,-3.60426,2.92597,0.664318,-2.06605,11,-1,2.63402,-1.18725,-1.78485,1.53063,0.66412,-2.15777
1,362208,-13,1,180.811,33.5239,43.1855,-172.348,-1.8656,0.910689,11,-1,48.4371,-41.3186,-3.93259,-24.9692,-0.570187,-3.0467,-11,1,72.1292,22.8783,-25.3722,-63.5252,-1.37895,-0.837039,11,-1,8.84924,2.02182,-3.15297,-8.01749,-1.50478,-1.0006
1,335419,13,-1,195.858,28.1206,96.5593,-168.065,-1.28608,1.28741,-13,1,7.38941,0.783075,-7.155,-1.66883,-0.229827,-1.46179,-11,1,45.0173,27.5673,24.0272,26.2545,0.667311,0.716892,11,-1,7.00369,0.723614,-6.72771,1.80719,0.264001,-1.46365
1,5322,13,-1,53.4167,48.2937,-20.5809,9.87298,0.186979,-0.402854,13,-1,73.0341,-17.5563,-22.1666,67.3379,1.60225,-2.24065,-11,1,154.111,-42.364,42.0762,142.074,1.60151,2.3596,11,-1,56.6957,-18.2343,6.24611,-53.3188,-1.74183,2.81157
1,219105,-13,1,227.255,-26.6023,-50.6277,-219.941,-2.0566,-2.0546,13,-1,26.7893,-6.97846,-8.3845,-24.4675,-1.54729,-2.26493,-13,1,10.666,-1.51745,-4.77547,-9.41517,-1.38817,-1.87847,11,-1,49.51,-8.20855,39.4624,-28.7502,-0.663511,1.77588
1,298520,13,-1,52.4667,-9.93711,36.8412,-36.01,-0.841007,1.83425,-13,1,15.7972,1.26603,-4.20754,15.1735,1.95282,-1.27852,-11,1,37.7175,8.48328,33.4005,-15.3314,-0.431385,1.32207,11,-1,23.6114,0.657839,-4.37606,23.193,2.35865,-1.42159
